Feature,Coefficient,Abs_Coefficient
loan_to_income_ratio,7.222840212699303,7.222840212699303
loan_percent_income,-5.732368155485402,5.732368155485402
loan_amnt,-0.811951916656966,0.811951916656966
loan_grade_D,0.7688128646352921,0.7688128646352921
loan_grade_E,0.4673729132277328,0.4673729132277328
person_home_ownership_OWN,-0.4595713894100485,0.4595713894100485
loan_intent_VENTURE,-0.40203169762974045,0.40203169762974045
person_home_ownership_RENT,0.33488286723842714,0.33488286723842714
loan_grade_G,0.2962997728937843,0.2962997728937843
loan_intent_EDUCATION,-0.27604617785019514,0.27604617785019514
loan_grade_F,0.27254112226938304,0.27254112226938304
loan_int_rate,0.2454276912391685,0.2454276912391685
loan_grade_C,0.20022237667251433,0.20022237667251433
loan_intent_PERSONAL,-0.17526658540320605,0.17526658540320605
loan_intent_MEDICAL,-0.14365242479570128,0.14365242479570128
loan_grade_B,0.10471886243864904,0.10471886243864904
loan_intent_HOMEIMPROVEMENT,0.08808354336108715,0.08808354336108715
person_income,0.07145848661827643,0.07145848661827643
income_per_year_employed,0.037115431848959934,0.037115431848959934
person_emp_length,0.026933832741389285,0.026933832741389285
high_interest_rate,-0.02607548271447015,0.02607548271447015
high_loan_percent_income,0.014333770372873679,0.014333770372873679
person_home_ownership_OTHER,0.013016019494712887,0.013016019494712887
person_age,-0.0119533386638902,0.0119533386638902
cb_person_default_on_file_Y,-0.009516880215530365,0.009516880215530365
cb_person_cred_hist_length,0.001605504810120536,0.001605504810120536
