Feature,Importance
loan_to_income_ratio,0.15139490864113017
loan_int_rate,0.13574063598979355
loan_percent_income,0.13359086449610708
person_income,0.10831591341622158
loan_grade_D,0.08916394528366212
person_home_ownership_RENT,0.06583256990502867
high_interest_rate,0.05751834727196008
high_loan_percent_income,0.05335323099042066
loan_amnt,0.0293872181216589
loan_grade_C,0.02687635955100142
income_per_year_employed,0.023216425878164325
person_home_ownership_OWN,0.022187934806470896
loan_grade_E,0.018222828457815348
person_emp_length,0.01386543432184474
loan_intent_VENTURE,0.013448494301233606
cb_person_default_on_file_Y,0.01312228283469011
loan_intent_HOMEIMPROVEMENT,0.010939992064752461
loan_intent_EDUCATION,0.007986805241867227
person_age,0.005745464282864812
loan_intent_MEDICAL,0.005547886540096271
loan_intent_PERSONAL,0.004596451497166435
loan_grade_B,0.003878742633892783
cb_person_cred_hist_length,0.0037378478853642813
loan_grade_F,0.0022707973658982156
person_home_ownership_OTHER,2.987601866490658e-05
loan_grade_G,2.8742202229458284e-05
